State,District,Level,Name,TRU,TRU1,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
20,363,DISTRICT,Jamtara,Total,1811.00,155275,791042,404830,386212,130993,67051,63942,72885,37212,35673,240489,120035,120454,426312,258260,168052,364730,146570,218160,326631,214740,111891,122434,96117,26317,42802,33437,9365,26814,19440,7374,6154,4006,2148,46664,39234,7430,204197,118623,85574,63206,34995,28211,108853,60588,48265,5393,2781,2612,26745,20259,6486,164620,101828,62792,51723,30361,21362,86256,51731,34525,4351,2377,1974,22290,17359,4931,39577,16795,22782,11483,4634,6849,22597,8857,13740,1042,404,638,4455,2900,1555,464411,190090,274321
20,364,DISTRICT,Ranchi,Total,5097.00,569444,2914253,1494937,1419316,401214,207029,194185,152943,78613,74330,1042016,520582,521434,1911433,1085244,826189,1002820,409693,593127,1142867,743967,398900,756176,553949,202227,208011,135622,72389,103770,60822,42948,23609,16096,7513,420786,341409,79377,386691,190018,196673,109476,49440,60036,163590,72231,91359,14843,6070,8773,98782,62277,36505,318026,159105,158921,88997,40483,48514,134219,60473,73746,11037,4673,6364,83773,53476,30297,68665,30913,37752,20479,8957,11522,29371,11758,17613,3806,1397,2409,15009,8801,6208,1771386,750970,1020416
20,365,DISTRICT,Khunti,Total,2535.00,103700,531885,266335,265550,86292,43947,42345,24037,12223,11814,389626,193710,195916,284575,164741,119834,247310,101594,145716,259984,141123,118861,153087,93812,59275,107222,64568,42654,16422,8583,7839,4874,2839,2035,24569,17822,6747,106897,47311,59586,59068,26386,32682,33026,12974,20052,4371,1769,2602,10432,6182,4250,89417,40448,48969,50390,22860,27530,27267,11150,16117,3501,1385,2116,8259,5053,3206,17480,6863,10617,8678,3526,5152,5759,1824,3935,870,384,486,2173,1129,1044,271901,125212,146689
20,366,DISTRICT,Gumla,Total,5360.00,188988,1025213,514390,510823,173647,88472,85175,32459,16446,16013,706754,352514,354240,559720,321795,237925,465493,192595,272898,487508,264774,222734,278931,176067,102864,196517,122451,74066,33161,18103,15058,7482,4678,2804,41771,30835,10936,208577,88707,119870,124755,52105,72650,64757,26515,38242,5289,2222,3067,13776,7865,5911,168158,72361,95797,100163,42240,57923,53431,22181,31250,4017,1704,2313,10547,6236,4311,40419,16346,24073,24592,9865,14727,11326,4334,6992,1272,518,754,3229,1629,1600,537705,249616,288089
20,367,DISTRICT,Simdega,Total,3774.00,118288,599578,300309,299269,94414,47962,46452,44674,22150,22524,424407,211546,212861,343483,191991,151492,256095,108318,147777,288645,159867,128778,155510,105703,49807,96004,67365,28639,29589,17064,12525,5284,3249,2035,24633,18025,6608,133135,54164,78971,62015,25808,36207,60643,22425,38218,2727,1207,1520,7750,4724,3026,113200,46860,66340,52583,22284,30299,51846,19592,32254,2234,990,1244,6537,3994,2543,19935,7304,12631,9432,3524,5908,8797,2833,5964,493,217,276,1213,730,483,310933,140442,170491
20,368,DISTRICT,Pashchimi Singhbhum,Total,7224.00,302046,1502338,749385,752953,261493,131836,129657,56986,28144,28842,1011296,500949,510347,727561,439273,288288,774777,310112,464665,694863,392690,302173,343008,239844,103164,137464,95888,41576,72410,39213,33197,14751,8763,5988,118383,95980,22403,351855,152846,199009,106708,50054,56654,195065,75690,119375,10074,4236,5838,40008,22866,17142,285747,127949,157798,90257,42852,47405,159390,63654,95736,8349,3596,4753,27751,17847,9904,66108,24897,41211,16451,7202,9249,35675,12036,23639,1725,640,1085,12257,5019,7238,807475,356695,450780
20,369,DISTRICT,Saraikela-Kharsawan,Total,2657.00,221232,1065056,544411,520645,159596,82120,77476,56195,28243,27952,374642,187149,187493,612993,365332,247661,452063,179079,272984,430051,283281,146770,228598,181056,47542,57441,43996,13445,32167,19060,13107,6061,3802,2259,132929,114198,18731,201453,102225,99228,59290,31871,27419,110799,50735,60064,4190,1897,2293,27174,17722,9452,163233,86225,77008,49173,27431,21742,88866,42252,46614,3102,1507,1595,22092,15035,7057,38220,16000,22220,10117,4440,5677,21933,8483,13450,1088,390,698,5082,2687,2395,635005,261130,373875
21,370,DISTRICT,Bargarh,Total,5837.00,370308,1481255,749161,732094,162922,83267,79655,298780,150420,148360,281135,140542,140593,983783,557217,426566,497472,191944,305528,762092,473305,288787,474390,372806,101584,173496,153167,20329,152438,103347,49091,34886,23513,11373,113570,92779,20791,287702,100499,187203,42917,15194,27723,208212,68350,139862,13259,4130,9129,23314,12825,10489,239923,84298,155625,34087,12196,21891,175824,58382,117442,11121,3289,7832,18891,10431,8460,47779,16201,31578,8830,2998,5832,32388,9968,22420,2138,841,1297,4423,2394,2029,719163,275856,443307
21,371,DISTRICT,Jharsuguda,Total,2114.00,136061,579505,296690,282815,64794,33341,31453,104620,52580,52040,176758,88273,88485,405879,228092,177787,173626,68598,105028,247707,172018,75689,172069,137683,34386,32716,28281,4435,21048,13460,7588,9320,4250,5070,108985,91692,17293,75638,34335,41303,8151,4320,3831,35761,13304,22457,6516,1652,4864,25210,15059,10151,62169,28635,33534,6633,3696,2937,29815,11206,18609,5315,1344,3971,20406,12389,8017,13469,5700,7769,1518,624,894,5946,2098,3848,1201,308,893,4804,2670,2134,331798,124672,207126
21,372,DISTRICT,Sambalpur,Total,6624.00,249597,1041099,526877,514222,117848,60744,57104,191827,96511,95316,355261,177565,177696,703691,393192,310499,337408,133685,203723,505840,313161,192679,336854,242724,94130,72629,61066,11563,73078,46353,26725,34007,10304,23703,157140,125001,32139,168986,70437,98549,14171,7684,6487,87720,34544,53176,25281,3582,21699,41814,24627,17187,142578,60207,82371,11909,6659,5250,74771,29776,44995,21342,2949,18393,34556,20823,13733,26408,10230,16178,2262,1025,1237,12949,4768,8181,3939,633,3306,7258,3804,3454,535259,213716,321543
